id_str,user,tweet,created
1516976938484527104,Amanda Liora,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/Dbf6nxZxCM\n\nBerdiri Bersama Jokowi',04/21/2022 03:07:40
1516976811732701184,opini.kita57,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/NwFJsxKBPL\n\nBerdiri Bersama Jokowi',04/21/2022 03:07:10
1516976418286366720,Ricardo S,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/rvLpSVGi2e\nBerdiri Bersama Jokowi',04/21/2022 03:05:36
1516976138484072448,Revan Sian,b'@LordSunda Tolong juga ss statement jokowi meminta jabatan presiden 3 periode',04/21/2022 03:04:30
1516976090044317697,Henry Jaya,"b'@TeddGus ""Kita akan terus bersuara hingga Presiden Jokowi selesai di 2024, Pemilu betul-betul tidak ditunda, Presiden Jokowi betul-betul tidak 3 periode."" https://t.co/mj0qAF3mk3'",04/21/2022 03:04:18
1516976065662820352,1Nusa1Bangsa ❤️✌️,"b'@Arisand46740209 @OposisiCerdas Perpanjang dan atau 3 periode kan tidak mungkin karena di UU tdk berkata begitu.  Kalau terjadi riak kan sebetulanya berlebihan.   Karena jauh sebnya presiden sdh menolak. Yg jelas berkata perpanjang/3periode itu Muhaimin, itu yg didemo.'",04/21/2022 03:04:12
1516976025472991232,Henry Jaya,"b'@alextham878 @TeddGus ""Kita akan terus bersuara hingga Presiden Jokowi selesai di 2024, Pemilu betul-betul tidak ditunda, Presiden Jokowi betul-betul tidak 3 periode."" https://t.co/mj0qAF3mk3'",04/21/2022 03:04:03
1516975984498843648,dearizky,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/MJZnCI5AMb',04/21/2022 03:03:53
1516975978773618689,Henry Jaya,"b'@samberjiwo1 @TeddGus ""Kita akan terus bersuara hingga Presiden Jokowi selesai di 2024, Pemilu betul-betul tidak ditunda, Presiden Jokowi betul-betul tidak 3 periode."" https://t.co/mj0qAF3mk3'",04/21/2022 03:03:52
1516975888214421505,Liyanzef,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/GBmYpgC2Gz',04/21/2022 03:03:30
